"","Series","Naive2","Comb","ARIMA","ETS","ETSARIMA","Naive2.1","Comb.1","ARIMA.1","ETS.1","ETSARIMA.1"
"1","W1",0.0205684270046445,0.0223312648129122,0.0224175016744367,0.0464648944201719,0.0307074356131765,11.4596144093622,12.4380865177806,12.4883765720181,25.5067996936704,17.0503341129451
"2","W2",0.035461210183042,0.0366620886594722,0.0378160351012289,0.0660758573628704,0.0501614576511145,10.39766273478,10.7432096869883,11.0703562200712,18.997519322886,14.5735452158878
"3","W3",0.0303164478100818,0.0164722299629093,0.00716528896902493,0.014339276563904,0.0102514102025645,8.8679604518972,4.85965386024481,2.12209627826733,4.23428590931235,3.03430595246997
"4","W4",0.200537447525714,0.225672860438551,0.155381585995436,0.193051969048121,0.170746839646685,1.63939935547556,1.81029569732006,1.31401049618821,1.58656332411334,1.42829774739405
"5","W5",0.238579138383799,0.216956340530284,0.125521222953644,0.151891832217301,0.121176786425127,0.575470379150547,0.530096594862326,0.32325625660633,0.384630575326261,0.310805078475546
"6","W6",0.463462280671242,0.447289735658651,0.234781550821463,0.17894815861826,0.199011244682278,1.41969464694546,1.38350801130412,0.840890524497912,0.666789134357798,0.73222627833112
"7","W7",0.259929313767791,0.257151051544104,0.254872050982628,0.26293751171883,0.257704516860966,0.55710688814779,0.552277800636653,0.546194628815745,0.560326109720573,0.550747056720281
"8","W8",0.385098555413342,0.445804890934755,0.334593337192079,0.439016860252673,0.374220624043475,2.01921486006755,2.24810007326202,1.81055497241443,2.22348017671038,1.97591634634908
"9","W9",0.115150267850059,0.157487738711199,0.104713192886386,0.137527556615658,0.117570297679427,0.904587058109907,1.20117014607248,0.829264177920013,1.06320506493526,0.922199813443306
"10","W10",0.0571034664702589,0.0551762683500344,0.0577760964998868,0.0570959483631213,0.057434891680384,5.13829951933677,4.9712308684864,5.19645231970987,5.13764846198722,5.16696448203551
"11","W11",0.0701164483837709,0.0720293675003608,0.142755484188536,0.201417893210689,0.170006778735287,0.189376426604876,0.194433520844182,0.410863550374731,0.618999117879053,0.50549298149013
"12","W12",0.0336265252853825,0.0331981071618493,0.0266001683423037,0.0326464579163528,0.0294974196793131,2.79695175380367,2.76199684097062,2.22176785436458,2.71697656272728,2.45946223172178
"13","W13",0.0478813676953132,0.0489120094504339,0.0375015116275462,0.0478774658859474,0.0420930357560663,5.22752796703026,5.34263781028444,4.07568681201656,5.22709257333928,4.58355561286993
"14","W14",0.0301481997221492,0.0286671022688571,0.0340111853361089,0.0296981307084346,0.028869071448658,2.59650573821789,2.46823365031359,2.91662103365124,2.55749269887083,2.48508027409119
"15","W15",0.225290794626272,0.128853350363379,0.119483370226538,0.219242180841935,0.157313662655069,10.2911827001387,5.60226672925789,5.19952093659101,9.97018453866764,6.88701038830452
"16","W16",0.225290794626272,0.135203480597576,0.116836029654668,0.225288045786562,0.160574917755924,10.5764519207887,6.04354404691604,5.23467818074993,10.5763012176068,7.23455302775748
"17","W17",0.0198197394779426,0.0194715724958203,0.0191888707586796,0.02130485544404,0.0201842436698339,6.72953931960288,6.61300431633594,6.51826660581415,7.22550938955568,6.85142405185431
"18","W18",0.053937143422502,0.0465553717083175,0.0401256503712609,0.0464032060373948,0.0432765019693975,7.23893853219396,6.21289347384887,5.33483539007121,6.19210019858184,5.76346779432652
"19","W19",0.30820917044145,0.303561665695391,0.20869711410574,0.185080876150199,0.184497674760936,0.73085023656962,0.722790998311463,0.538424971282726,0.479747250628252,0.480463363633774
"20","W20",0.122525671516639,0.125688454679168,0.135122627202654,0.131927959370656,0.133281588274899,0.849284050204455,0.873770713526113,0.948871949186444,0.923366551588381,0.934114378401323
"21","W21",0.276590882813171,0.294018390701931,0.166543208316008,0.162032818353663,0.161596641340546,0.880650791473351,0.925971181396874,0.566772462189495,0.549749297181838,0.549447505532448
"22","W22",0.152431401371493,0.133462569508276,0.129553299173452,0.140236096042023,0.131352234382329,0.479194028184552,0.413426041038547,0.401242759866374,0.436967137692637,0.407015683608096
"23","W23",0.0975754450432757,0.0986351477540596,0.104538815665583,0.0989412924393878,0.100410545561137,0.486942856583958,0.492580921276399,0.524334901619508,0.494210209696417,0.502129963521741
"24","W24",0.262555340944001,0.25480466082394,0.260641393524568,0.257808212827851,0.245787200557362,1.15951236148473,1.13714752867244,1.1596569335106,1.13439432257012,1.10013652151952
"25","W25",0.44360264116067,0.502779311052566,0.196433988670489,0.39166444090301,0.282649599154627,2.47518246664175,2.71978770281513,1.240346274896,2.23868988311995,1.70681941066436
"26","W26",0.450957226445245,0.454649941244899,0.24648342715726,0.445466939328532,0.333598487476063,1.35274456497903,1.36133202532127,0.834855239034532,1.34039330054849,1.07146920648773
"27","W27",0.4057805459718,0.432608337144635,0.275252450342554,0.43435389470962,0.351601530553318,1.47272190642289,1.54672733188422,1.07933425242093,1.55140970863571,1.31537198052832
"28","W28",0.348376662394872,0.39543262831008,0.436077718963697,0.369535787935278,0.404925319425108,1.23126861308327,1.3882040475916,1.54752577339157,1.29830652200928,1.42291614770042
"29","W29",0.441535624055139,0.535472823979964,0.325780119544262,0.471413711504134,0.390686640039816,1.5894964588849,1.8283224846684,1.25934929889046,1.66543230308729,1.44803634350642
"30","W30",0.256478713755153,0.272563501700319,0.213301004571959,0.243827560294851,0.22781330440427,1.60147294399066,1.68273672512877,1.37278091337799,1.53600345122946,1.45149207743827
"31","W31",0.318709997250294,0.399293917134173,0.377727251727926,0.303474300365546,0.330033190162968,1.62700457794567,1.96947586798593,1.88639124642069,1.56679606940225,1.68817537217951
"32","W32",0.346771598582417,0.370050456236359,0.367423762987488,0.355510885793007,0.361444407956735,1.98080587155426,2.08961330314313,2.07742274116458,2.02187909272744,2.04965091694601
"33","W33",0.361990607890258,0.373784379150484,0.196588657972835,0.357383975234076,0.273116333092587,2.38339687285854,2.44355278451917,1.44749067428009,2.35911250090425,1.90100085444895
"34","W34",0.275033627175153,0.330529564995949,0.313831346619679,0.334946296521684,0.324318044338971,2.02267700957826,2.34223516781641,2.24750135606262,2.36704449637498,2.3072729262188
"35","W35",0.404681710152945,0.391986738163629,0.383096647724366,0.387036317145075,0.385055311769353,1.71869063886027,1.67687981675424,1.64702356653041,1.66035967730004,1.65369162191522
"36","W36",0.174770256057119,0.169558747484283,0.143885435680744,0.169926526835725,0.157000092738884,2.29868693766787,2.22409239700572,1.8713498644219,2.22926752188346,2.05030869315268
"37","W37",0.0157122770864202,0.0163839956057988,0.0166081446068316,0.0191816328820123,0.0178834803286571,2.52367313408819,2.63259293049497,2.66908468970656,3.08732057089495,2.87616954794698
"38","W38",0.019164116565712,0.0190958859435261,0.020305692222074,0.0191632804354036,0.0197347097678473,1.61800949032487,1.61217826513052,1.71565594851209,1.6179380280791,1.66679698829559
"39","W39",0.0131221978776724,0.0173015179069988,0.0196156019974852,0.0169813738983128,0.0182997339109243,2.80590082166176,3.70923543123625,4.21124818281662,3.63965217582255,3.92545017931959
"40","W40",0.0131961337310468,0.0177173940940034,0.0202419635937267,0.018052339980203,0.0191480423224948,2.89785070222527,3.90169390716396,4.46447585222196,3.97598536870836,4.22023061046516
"41","W41",0.0180975577713292,0.0184925002938242,0.0180975577713292,0.0180627100788016,0.0180801341323309,1.49747209806019,1.53054550666577,1.49747209806019,1.4945548811946,1.49601348962739
"42","W42",0.018068603694846,0.01863847654939,0.018068603694846,0.0197358299518275,0.0188344929090973,1.47746796989254,1.52462556223557,1.47746796989254,1.61554780126986,1.54085629919686
"43","W43",0.0180830078920691,0.0188906796700097,0.0180830078920691,0.0180173675189087,0.0180501884373599,1.49920519349432,1.56698973982138,1.49920519349432,1.49370011350262,1.49645265349847
"44","W44",0.013270320061719,0.01832458845861,0.019457373972448,0.0200893984273854,0.0197734386838557,2.91865118584922,4.04300555483089,4.29577296333731,4.43686570018373,4.36631933176051
"45","W45",0.0403946067857411,0.0388429777317411,0.038237649497618,0.0392279556932217,0.0387322063899997,5.89336730872642,5.67314005014382,5.58679163414195,5.72781959771956,5.65730561593076
"46","W46",0.0493132292430748,0.052678332128482,0.0516561683843343,0.051384187783714,0.0515201875756119,4.0079977746024,4.2894339403651,4.20382782248494,4.18107068741102,4.19244925494797
"47","W47",0.0402228569669319,0.0377511626694552,0.0381336723656277,0.0390698342964309,0.0386011664238617,5.86741820064503,5.5164321098362,5.57049941255651,5.70382028544387,5.63715984900019
"48","W48",0.0232930288770002,0.0232581744862394,0.0264672709292784,0.0174615664949304,0.0219804080283242,3.28411154094898,3.27912318988244,3.74012514807642,2.45232778664881,3.09622646736261
"49","W49",0.030902862931579,0.0307636189590425,0.030734995946679,0.0307514552229356,0.0307432254477573,2.58028392055722,2.56877720269544,2.56639738290928,2.56775936832904,2.56707837561916
"50","W50",0.0308681193116298,0.0307273782216573,0.0306997705143135,0.0307170938187322,0.0307084320146922,2.57680814932256,2.56518206285029,2.5628875486863,2.56432043392198,2.56360399130414
"51","W51",0.0158119698529402,0.0159011642277034,0.0158119698529402,0.0158128436633062,0.015812406758551,1.79450972513402,1.80466461008156,1.79450972513402,1.79460919921444,1.79455946217423
"52","W52",0.0170581151879506,0.0175393400586698,0.0170581151879506,0.0170974743855713,0.0170777950179537,1.39877650296047,1.43880469460254,1.39877650296047,1.402049112093,1.40041280752674
"53","W53",0.0650107763490411,0.0648730762905781,0.0636682110491518,0.0659324304823641,0.0645044726613804,0.704855067103792,0.703448007744109,0.691088438020877,0.714274906110216,0.69967338018593
"54","W54",0.0128907300361116,0.00835821753712675,0.00814196314668667,0.00896429552425791,0.00818288451149769,0.683182486035821,0.441382519945957,0.430017571009723,0.473597435806372,0.432076362667989
"55","W55",0.0521236935627286,0.0495881285771177,0.0478820602031973,0.0521238186540811,0.0488567560183913,1.9887577762179,1.8884355590007,1.81994030932294,1.9887626143447,1.86015237088069
"56","W56",0.165002412638418,0.0899290937081358,0.142942478368567,0.0723630812426204,0.106675555455193,6.87712409497122,3.9283707879674,6.03670572122195,3.20922065298736,4.62092425489445
"57","W57",0.312708274440536,0.0550048125910657,0.188437377992166,0.038873355804007,0.104867441477046,14.1709633649932,2.15609410055618,5.83464147984325,1.34184117345235,3.40775073066384
"58","W58",0.0846692378145297,0.0883380510031167,0.0759367509742948,0.086904639045869,0.0808861598451942,3.6790677214414,3.83365159607432,3.30690102367365,3.77335284411866,3.518653166025
"59","W59",0.316621007761539,0.186831322797477,0.144738621776773,0.190150715353772,0.163053388030116,1.55755879502344,0.827450765932609,0.617745023510107,0.84445352199664,0.707665217280625
"60","W60",0.0393938530663539,0.0389166255131331,0.0384503059476156,0.0380370964794189,0.038243662547984,6.44699453277139,6.37069819088315,6.29612683579626,6.22998120059204,6.26305401819415
"61","W61",0.0517657300859427,0.0276644763882645,0.0489787892871069,0.029579930935207,0.0376700326954387,4.37591586976598,2.36093481506062,4.25567798915969,2.52658282522328,3.23702535847083
"62","W62",0.0251302605138041,0.0248316253771218,0.0240944545428021,0.0230240384679672,0.0235580643931963,2.91206558513721,2.87786058821352,2.79377423002215,2.67167981891534,2.73272702446874
"63","W63",0.029603508834658,0.0287544171488903,0.0265439777334808,0.0267163992041637,0.0242063982708239,2.78161848822674,2.70422801273647,2.50269216451956,2.51814006028361,2.28704920700049
"64","W64",0.0635196611109787,0.0548805940456363,0.0295948815320023,0.0545795006805227,0.0392860125663858,4.22988458379616,3.64802317250086,2.00346146579093,3.62824174894776,2.63062683216692
"65","W65",0.0533601644770827,0.0474635401465058,0.0261901790594339,0.0458543864919771,0.0337225911408103,3.86440152317776,3.43181540873681,1.92065941755699,3.31642864063873,2.45531649583004
"66","W66",0.0329595138864637,0.0174237325311459,0.00367549062440678,0.0251523035379738,0.013721503400773,8.35471017538644,4.45966909086423,0.939400454632566,6.4065033345859,3.52056343693952
"67","W67",0.0340498328291876,0.0218958817028533,0.0135460713279284,0.0196075001451382,0.0165680224873025,15.2145718721846,9.86041767516772,6.12834051765665,8.8436462784184,7.48523762326606
"68","W68",0.0106265718275986,0.0200469444998024,0.0216513448064679,0.0209820857215725,0.0213166364330034,2.38534342259018,4.47417339646885,4.82815659001923,4.68068604622177,4.7544213181205
"69","W69",0.0103039131667706,0.0193986046836458,0.0207217027619182,0.0249439301477354,0.022829497103811,1.82602512343151,3.41851625708612,3.64912528350442,4.38021188685695,4.01466858518068
"70","W70",0.00744968318491602,0.00965216517954854,0.0177123886195073,0.00956557832506394,0.0132372452852459,0.591591476268806,0.765105646112994,1.39411077165463,0.758302278326085,1.0457883724194
"71","W71",0.0124545568354801,0.013412907345789,0.0619705709929471,0.0126589135387858,0.0237899765398654,0.194420821842855,0.205963053886373,0.923884611300382,0.197636976851374,0.363123817224503
"72","W72",0.0124545568354801,0.00919560820664965,0.0590013147247248,0.0124550919832802,0.0224809910636178,0.233635004621215,0.170113467741888,1.0591742718561,0.233645124432798,0.412764573711649
"73","W73",0.0124545568354801,0.00925448717224762,0.0590138063535027,0.0124550919832802,0.022486998300605,0.233606748019165,0.171175775350907,1.05926492275484,0.233616866606824,0.412824028074006
"74","W74",0.338518314917215,0.306939076567092,0.209412688806427,0.338497900108823,0.272132031409081,20.7398173060179,18.39584015516,11.834379194746,20.7382668863552,15.9397610814882
"75","W75",0.0354115248854078,0.0303342208808463,0.0254744447403425,0.0340679392102066,0.0281176126942346,2.96933682239759,2.54971064957053,2.13462424800776,2.8594288054194,2.36390135641818
"76","W76",0.226244343891403,0.18457888895879,0.933208615300702,0.176592971770992,0.342816425735,1.30955549640671,1.07914097882494,3.26848803013531,1.00419396973659,1.67315285906896
"77","W77",0.127940180039305,0.127768506177494,0.23123224536599,0.111545287182532,0.16127181106927,3.00751373315416,3.0038097508944,5.10455714194392,2.64843895341968,3.71071076518766
"78","W78",0.129414829181357,0.129677807084856,0.215090782603444,0.109025292388612,0.160322662023384,2.43579774416596,2.44031130043154,3.83856267548637,2.08165736423558,2.95734276657454
"79","W79",0.176113746568389,0.13009795023808,0.129058624954721,0.0796029422126315,0.0781575516014388,3.08398347865994,2.33566810131529,2.31866396750365,1.49302977431575,1.45039045853389
"80","W80",0.118087990104915,0.11539352200784,0.133556768998693,0.118095809940326,0.125772228411025,1.94762457534159,1.90622729089781,2.18160594378946,1.94774436351175,2.0646751536506
"81","W81",0.0257350601652351,0.0254691485074639,0.034508148720782,0.0254404723896106,0.0291068676131974,2.57644271603195,2.54917261504192,3.43513836689014,2.54677785760286,2.91005490042529
"82","W82",0.00136951256490165,0.00188380862475575,0.00140336572621944,0.00200326356601948,0.0016229192568332,0.749480791705677,1.03037737785848,0.76787722904708,1.09563034372334,0.887884701448742
"83","W83",0.00620011174315087,0.00724606297024018,0.0124872667840698,0.00616124098912381,0.00847087081245767,1.05156298828587,1.22956295686427,2.12921901491158,1.04498744851719,1.43878725781094
"84","W84",0.0066263630362443,0.00919175527350239,0.0131422893412582,0.0133918102902548,0.013267064552887,1.04989685888618,1.45788361776156,2.0909867063841,2.13111705375834,2.11105188007122
"85","W85",0.0166886110111649,0.0207095604069873,0.0156750230851187,0.020259740601254,0.0179635644597844,5.05680396376558,6.25821506407819,4.75238476953636,6.12429035902932,5.43833756428284
"86","W86",0.0168143504344945,0.0188840285098222,0.0165994269700197,0.0190116768143048,0.0178039673697066,4.89698247313283,5.49210095114374,4.8344251662638,5.52881163338427,5.18161839982403
"87","W87",0.00960115426905322,0.00947533702238534,0.0216362248060225,0.00902028373081257,0.0153031959141061,1.0943122610854,1.08004652582895,2.44832979246109,1.02843654456906,1.73838316851508
"88","W88",0.00617573760235663,0.00333222061462719,0.00568339845649188,0.00389904453409507,0.00471162658495514,2.18983334384012,1.18315763064731,2.0229540222834,1.38533637881421,1.67567105284364
"89","W89",0.0507354806708399,0.0721908992822242,0.0767237114570648,0.0753976327675492,0.0760615207787031,0.667224281250091,0.963228275328949,1.02673793135987,1.00809534895091,1.01741664015539
"90","W90",0.0164043458426911,0.0117485863869772,0.0103179124294956,0.00841050971632734,0.00931654640790702,1.83354233237973,1.31685042598087,1.15724844264776,0.943838629143247,1.04527769661866
"91","W91",0.0140205934293621,0.00838071713851533,0.00865014939801614,0.0121953010687958,0.00975774361888299,2.23230553031514,1.33779825781636,1.38127587853545,1.95215696900704,1.55920716572253
"92","W92",0.0241118928109879,0.022397295328862,0.0225211560363318,0.0276444937594453,0.024754867134815,2.85184206286477,2.64863868801791,2.66551691732087,3.29002485382362,2.93660904213588
"93","W93",0.00893821411438229,0.00761917976615598,0.00512349312389015,0.00397739218969409,0.00449957403028117,1.41790848532883,1.20954035439201,0.814275894163885,0.63243669947937,0.715350831946468
"94","W94",0.0984625539253342,0.104071151592825,0.0972661736598411,0.0976930853594972,0.0974796051486973,2.97385712652562,3.13272114241282,2.93984417653076,2.95198800613806,2.94591609133441
"95","W95",0.085564100694564,0.0906008718303345,0.0882134284228132,0.0884691467292529,0.0883412801938467,2.51199744197768,2.6511799877691,2.58532364456606,2.59238106772014,2.5888523561431
"96","W96",0.0117350533937805,0.00783247226506906,0.00333069164654893,0.00367358236076144,0.00348563060347714,4.64449553648871,3.10809534528499,1.32360184016595,1.46027050985374,1.38542923805181
"97","W97",0.0799678482227819,0.0375555397049276,0.0365717573011917,0.0423598423217742,0.0391658896297139,0.550204462995237,0.266462078856872,0.259596897949281,0.300049774958601,0.277719592011464
"98","W98",0.0531404194944791,0.0279970894570221,0.0258571217556573,0.0313427169418741,0.0286154756023343,0.451724822087648,0.242722761705955,0.224463350892774,0.271613585685279,0.248038468289026
"99","W99",0.0150863480002724,0.00564412632261107,0.00659884849907513,0.0116419036164391,0.00911576802137471,4.64542141219242,1.72855601738685,2.0161559459258,3.54354025817791,2.77984810205185
"100","W100",0.0256924835343173,0.0235381170570374,0.0248368227873981,0.0216462107539389,0.0232382521080987,5.37111599897502,4.92743547127146,5.19381568227134,4.53687123429954,4.86534345828544
"101","W101",0.0158037494892076,0.011324394887524,0.00402434151159764,0.00760281158676424,0.00581120447330304,3.21484764427009,2.3101803376973,0.825681507260494,1.55403640173218,1.18985895449634
"102","W102",0.00957776157712037,0.0112118916998219,0.0168650866095105,0.0138495862257141,0.0153588986800667,2.4542787791495,2.87661099157057,4.34515737494151,3.56039783269117,3.95277760381634
"103","W103",0.0306565663223681,0.030359956605774,0.0292066301179696,0.0307656757460874,0.0299849012006576,2.8314469125742,2.80434954754006,2.69866619576163,2.84141673206208,2.77004146391185
"104","W104",0.0322890231277905,0.0161697818551699,0.00570376627872972,0.0039588700249993,0.00289487059147807,3.19891519428913,1.58592297765529,0.553225072603799,0.387201146990085,0.283863069460542
"105","W105",0.00906809208763317,0.0101663658739841,0.0116497494844216,0.0113657619384417,0.011507768768253,4.01871134940124,4.50883703074637,5.17198353766104,5.04493205151226,5.10845779458665
"106","W106",0.00482257828404618,0.00355351146404808,0.00265008660972076,0.00291451947109518,0.00278225865982325,0.943051590750159,0.695456695878459,0.519128442737421,0.570792374878089,0.544960408807755
"107","W107",0.0168747158948313,0.011953057411964,0.00670907332785384,0.00652818578294603,0.00661862190888162,9.09981973989515,6.46256591168264,3.63454070086058,3.53750057376767,3.58602063731411
"108","W108",0.00656527429150627,0.00405554263129772,0.0187904678187299,0.00461161082111848,0.00776525047638215,3.42190276819273,2.11764247018876,9.70754152867967,2.41159950890798,4.04274380891296
"109","W109",0.0078493881932691,0.00499450796059318,0.0220337406506759,0.00449771884095271,0.00966696960127887,3.60864679617067,2.30095556125996,10.0263669082551,2.07384397649097,4.43714303609957
"110","W110",0.0212501441536618,0.0120626296782083,0.00890998965911729,0.0109688970235615,0.00993871709003989,3.37817354886762,1.92774599019771,1.4260928948134,1.75408102481029,1.59008695981184
"111","W111",0.00986437321237001,0.0100216932149724,0.0219487147406488,0.00991702386614516,0.0159100953619335,1.1103061992757,1.12791368975676,2.45269358347144,1.11619608024518,1.7844448318583
"112","W112",0.00713107539889719,0.00416191376574691,0.00733407664944863,0.00551202537668748,0.00634203759875755,2.32926195452662,1.3609462677384,2.40429151104002,1.80397100110865,2.07723780059065
"113","W113",0.0302807247055043,0.0290504640964465,0.0303494239153598,0.0307947080764157,0.030572373657803,0.318352069413822,0.305325145220138,0.319083545919766,0.323820100848042,0.321451823383904
"114","W114",0.025586985364833,0.0276046411047657,0.025586985364833,0.0332383893985377,0.0294213463577572,2.03883116647186,2.2021364993076,2.03883116647186,2.66017777938315,2.34950447292751
"115","W115",0.0241870995610809,0.0271238798022899,0.0280142776721448,0.0276212770023052,0.0278182398540406,2.77632450750421,3.1186945404814,3.22298162728574,3.17675822657305,3.19986992692939
"116","W116",0.0288967933482467,0.0258770266272745,0.103241175662611,0.0275660580213611,0.0479932206230729,2.46500162298763,2.21138288404225,8.26694129390564,2.3572019228156,4.00524632185752
"117","W117",0.0163534097575188,0.0149738311562695,0.0142448876184185,0.0163534569811054,0.0150300390624856,3.44050759760854,3.15476807831961,3.00246112845896,3.44051736440546,3.16645221520578
"118","W118",0.00895238631160394,0.00756017627472685,0.00511873164189941,0.00895272350884856,0.0070332887081076,1.42004103241527,1.20012252866673,0.813459043770346,1.42009424978482,1.11677664677758
"119","W119",0.156684792852318,0.153359727272699,0.145853475008044,0.146299332076037,0.146076370253562,3.41719881911885,3.35109915238339,3.20054565121585,3.20951260443807,3.20502912782696
"120","W120",0.132135147758916,0.135365974421124,0.133572794976706,0.131913803301401,0.132742878166582,2.71792181060362,2.77877050443182,2.74497780375717,2.71374909020647,2.72936344698182
